DISTRITO,Lat,Long,nueva_tabla
ACARI,-15.34160006,-74.55823639,250
ACHOMA,-15.82211624,-71.69585454,16
ALCA,-15.16748158,-72.71187346,158
ALTO SELVA ALEGRE,-16.33095943,-71.48584952,2603
ANDAGUA,-15.48504491,-72.37681482,36
ANDARAY,-15.85245237,-72.84380015,100
APLAO,-16.02719872,-72.56815206,469
AREQUIPA,-16.40665773,-71.53845877,4584
ATICO,-16.05301874,-73.53834169,268
ATIQUIPA,-15.68915938,-74.3036408,20
AYO,-15.6409487,-72.28507677,5
BELLA UNION,-15.37533913,-74.76161058,137
CABANACONDE,-15.67463939,-71.95940701,86
CAHUACHO,-15.54064254,-73.43174137,10
CALLALLI,-15.52113571,-71.24847711,150
CAMANA,-16.63091154,-72.71288119,226
CARAVELI,-15.82914029,-73.33184287,167
CAYLLOMA,-15.15162846,-71.79667626,431
CAYMA,-16.25268059,-71.45694486,3127
CERRO COLORADO,-16.30444406,-71.57658675,6612
CHACHAS,-15.18199078,-72.11606614,31
CHALA,-15.76949392,-74.18973198,325
CHAPARRA,-15.8248154,-73.94513931,188
CHARACATO,-16.45774835,-71.38283719,835
CHARCANA,-15.21086886,-73.04877996,15
CHICHAS,-15.53449452,-72.94570784,124
CHIGUATA,-16.37557501,-71.35864243,250
CHILCAYMARCA,-15.35061239,-72.38527701,29
CHIVAY,-15.64007638,-71.55013673,396
CHOCO,-15.41404098,-72.06868024,19
CHUQUIBAMBA,-16.04315237,-72.72085012,697
COCACHACRA,-16.92885068,-71.59948806,4
COPORAQUE,-15.59132951,-71.64123022,52
COTAHUASI,-15.27630614,-72.86146157,288
DEAN VALDIVIA,-17.09798984,-71.82939695,111
HUAMBO,-15.79622858,-72.16045682,40
HUANCA,-16.00640917,-71.82793024,109
HUANCARQUI,-16.01236648,-72.36817716,86
HUANUHUANU,-15.55574212,-74.06280513,148
HUAYNACOTAS,-14.87487083,-72.76144317,100
ICHUPAMPA,-15.58618444,-71.70530942,23
IRAY,-15.91300498,-72.60056395,126
ISLAY,-16.87631951,-72.10223308,222
JACOBO HUNTER,-16.45871225,-71.5626832,1649
JAQUI,-15.4490881,-74.39815803,57
JOSE LUIS BUSTAMANTE Y RIVERO,-16.43149235,-71.52347288,23
JOSE MARIA QUIMPER,-16.59667374,-72.736621,52
LA JOYA,-16.58841336,-71.79580003,1527
LARI,-15.47992838,-71.76044181,38
LLUTA,-15.96758594,-72.01836748,177
LOMAS,-15.38673067,-74.9351453,39
MACA,-15.7312886,-71.79727118,13
MACHAGUAY,-15.60112224,-72.47175967,28
MADRIGAL,-15.54133538,-71.85744391,65
MAJES,-16.35269113,-72.29624138,1638
MARIANO MELGAR,-16.37538158,-71.46287136,307
MARIANO NICOLAS VALCARCEL,-16.07824275,-73.13612639,192
MARISCAL CACERES,-16.45561119,-72.83225128,165
MEJIA,-17.03560349,-71.87857714,4
MIRAFLORES,-16.35646497,-71.47126872,44
MOLLEBAYA,-16.50408044,-71.47384439,26
MOLLENDO,-16.85734753,-71.87878239,4740
NICOLAS DE PIEROLA,-16.47944564,-72.63410656,54
OCOÑA,-16.2779483,-73.01085159,69
ORCOPAMPA,-15.11601691,-72.24842929,275
PAMPACOLCA,-15.670768,-72.61908225,63
PAMPAMARCA,-14.9895086,-72.93021605,76
PAUCARPATA,-16.42007033,-71.47799753,10356
POLOBAYA,-16.64197083,-71.35739535,1
PUNTA DE BOMBON,-17.16005879,-71.55068095,80
PUYCA,-14.93889893,-72.54714241,46
QUECHUALLA,-15.28981178,-73.07042033,62
QUEQUEÑA,-16.54417713,-71.44321301,4
QUICACHA,-15.56731379,-73.73042616,37
QUILCA,-16.70072991,-72.35194404,67
RIO GRANDE,-15.88086707,-73.12658159,440
SABANDIA,-16.4482675,-71.46020143,16
SACHACA,-16.42116904,-71.57624497,434
SALAMANCA,-15.40614187,-72.69740698,36
SAMUEL PASTOR,-16.60133401,-72.65244303,216
SAN ANTONIO DE CHUCA,-15.83090399,-71.09742078,93
SAN JUAN DE TARUCANI,-16.19375483,-71.09698985,16
SANTA RITA DE SIGUAS,-16.52290335,-72.14408903,40
SAYLA,-15.32498129,-73.24532983,8
SIBAYO,-15.3617309,-71.54598926,11
SOCABAYA,-16.47364088,-71.53467952,5884
TAPAY,-15.42679276,-71.93599085,110
TAURIA,-15.40420219,-73.17264093,4
TIABAYA,-16.46344923,-71.59901446,351
TIPAN,-15.75076339,-72.49968346,24
TISCO,-15.21267354,-71.39223747,24
TOMEPAMPA,-15.21326987,-72.7853053,57
TORO,-15.40473203,-73.01607147,120
TUTI,-15.48306341,-71.59761143,49
UCHUMAYO,-16.46092711,-71.69054328,2
UÑON,-15.75708325,-72.38314485,4
URACA,-16.26157772,-72.52556339,281
VIRACO,-15.61636859,-72.56690715,55
VITOR,-16.48915908,-71.98771119,105
YANAHUARA,-16.39474421,-71.55040482,2613
YANAQUIHUA,-15.70197992,-73.029119,566
YANQUE,-15.79008772,-71.45524823,130
YARABAMBA,-16.61351493,-71.54986936,13
YAUCA,-15.63351955,-74.42875338,69
YURA,-16.13091563,-71.60621129,28
